MeterId,ProductName,SKU,Region,Location,Price,Currency,ServiceFamily,Unit,EffectiveDate,Type
0eb74eb9-9387-57e2-aeb9-a6bbdac54b31,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,Standard_E112ias,indonesiacentral,ID Central,13.27248,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Consumption
3bab663c-dbca-506b-a4c1-4ed2ed1f1e8d,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E104id_v5,italynorth,IT North,14.862,USD,Databases,1 Hour,2023-06-27T00:00:00Z,Consumption
3bcb7dc7-f22e-584c-acf3-14c82a8a99c1,Azure Database for MySQL Flexible Server Burstable BS Series Compute,Standard_B12ms,uaenorth,AE North,0.96,USD,Databases,1 Hour,2025-03-01T00:00:00Z,Consumption
3bd5f883-85ba-5a57-beea-ffb4fc1bbd36,Azure Database for MySQL Flexible Server Burstable BS Series Compute,B2S,malaysiawest,MY West,0.0936,USD,Databases,1 Hour,2025-04-01T00:00:00Z,Consumption
3be366bb-6ddc-58b1-b410-f688485704af,Azure Database for MySQL Single Server - Backup Storage,Backup LRS,westus3,US West 3,0.1,USD,Databases,1 GB/Month,2022-08-01T00:00:00Z,Consumption
3be8d5d9-81dc-5ecc-b13e-44ef0571763c,Azure Database for MySQL Flexible Server Memory Optimized Edsv6 Series Compute,1 vCore,koreasouth,KR South,0.147625,USD,Databases,1 Hour,2025-08-01T00:00:00Z,Consumption
3c052dc3-aa01-47d3-b46b-b1a570517bf0,Azure Database for MySQL Single Server Basic - Compute Gen5,2 vCore,germanywestcentral,DE West Central,0.0796,USD,Databases,1 Hour,2019-09-01T00:00:00Z,Consumption
3c3c6c64-cddf-59c5-9572-038efd142b82,Azure Database for MySQL Single Server Memory Optimized - Compute Gen5,1 vCore,westus3,US West 3,0.1181,USD,Databases,1 Hour,2022-08-01T00:00:00Z,Consumption
3e88837f-ba3f-5e30-bc77-6b9ceb5c5e1a,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,vCore,francecentral,FR Central,0.14,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
3e88837f-ba3f-5e30-bc77-6b9ceb5c5e1a,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,vCore,francecentral,FR Central,736.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
3e88837f-ba3f-5e30-bc77-6b9ceb5c5e1a,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,vCore,francecentral,FR Central,1472.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
3c672816-b1f7-4e1a-b067-3bc52b8a9d14,Azure Database for MySQL Single Server General Purpose - Storage,General Purpose,koreacentral,KR Central,0.1311,USD,Databases,1 GB/Month,2018-05-01T00:00:00Z,Consumption
3c696ef8-aac4-5cda-b6dd-675d9bc0b24a,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,1 vCore,westus3,US West 3,0.1181,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
3c709f9a-cc25-4727-b7f2-9771a3c95f05,Azure Database for MySQL Single Server Memory Optimized - Compute Gen5,1 vCore,germanywestcentral,DE West Central,0.1429,USD,Databases,1 Hour,2019-09-01T00:00:00Z,Consumption
491b577b-3ceb-5689-acb2-4f1f5eb68173,Azure Database for MySQL Flexible Server Business Critical Ev3 Series Compute,Standard_E32as,indonesiacentral,ID Central,0.12762,USD,Databases,1 Hour,2025-05-01T00:00:00Z,Consumption
3c9df83e-d28c-51fe-81d0-f7238107e0d8,Az DB for MySQL Flexible Server Storage,Paid IO LRS,westus2,US West 2,0.2,USD,Databases,1M,2022-10-01T00:00:00Z,Consumption
3cbd7014-76c9-5c65-bc45-49c6cb0d69f6,Azure Database for MySQL Flexible Server General Purpose Ddsv5 Series Compute,1 vCore,koreasouth,KR South,0.118,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
3cc6bf80-2411-52a3-a020-72ce5375ead5,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E8d_v5,uksouth,UK South,1.039,USD,Databases,1 Hour,2022-07-01T00:00:00Z,Consumption
313a0d3e-7930-53d9-8cb6-c90a8924072a,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,vCore,eastasia,AP East,0.15675,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Consumption
313a0d3e-7930-53d9-8cb6-c90a8924072a,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,vCore,eastasia,AP East,826.0,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Reservation
313a0d3e-7930-53d9-8cb6-c90a8924072a,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,vCore,eastasia,AP East,1651.0,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Reservation
aecb0d6d-79c5-593a-99d0-ef3c82c0d23e,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,Standard_Eas,northcentralus,US North Central,0.1181,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Consumption
3ce3a4d4-865d-5a1d-8e9a-5b2450f213e9,Az DB for MySQL Flexible Server Storage,Storage ZRS,eastasia,AP East,0.1265,USD,Databases,1 GB/Month,2025-01-01T00:00:00Z,Consumption
3cede0c8-d750-589d-a558-b023965022d4,Azure Database for MySQL Flexible Server Burstable BS Series Compute,B1MS,switzerlandwest,CH West,0.02846,USD,Databases,1 Hour,2022-09-01T00:00:00Z,Consumption
